dataset,method,graph,target,regime,n,n_errors,auroc_base,auroc_overlap_only,auroc_full,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,auprc_base,auprc_full,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
stanfordnlp_sst2,graphsvx,syntactic,gnn_correct_gold,all (base = confidence+explanation),872,109,0.7993915856048674,0.49370543605035655,0.7938485216492119,-0.005518284271607052,-0.012569308931757334,0.0006934548470091253,0.32609512788555906,0.31421271716442584,-0.012614020409319564,-0.03516576391206136,0.0035284113002420673
stanfordnlp_sst2,graphsvx,syntactic,gnn_agrees_teacher,all,872,71,0.8700567952031791,0.5382884070967628,0.8650454537461976,-0.004859023927855374,-0.011468809150359966,0.0011044276354908787,0.29316294178781765,0.2911122506708618,0.0010771786503533454,-0.030836738662974386,0.03570214405082072
stanfordnlp_sst2,graphsvx,syntactic,gnn_agrees_teacher,all (base = confidence+explanation),872,71,0.8794464665646815,0.5382884070967628,0.8691072778744877,-0.010106042590500661,-0.02430984875747492,-0.0014771107944425168,0.32710492836142785,0.3133342520191595,-0.01371515392915297,-0.03564437421690611,0.008309671858264242
stanfordnlp_sst2,graphsvx,window,bert_correct,all,872,73,0.8348963601762478,0.45966704956538135,0.8190889296552196,-0.015421970066613291,-0.049823950164291794,0.012156706031654765,0.3077422178420738,0.272075748810257,-0.0367805220245954,-0.092621761609884,0.00970046531489509
stanfordnlp_sst2,graphsvx,window,bert_correct,confidence>0.9,744,32,0.7701018258426966,0.49477703651685395,0.735691713483146,-0.034767879595531036,-0.12285662353273545,0.03817341169826108,0.11214413353020516,0.11108998301291778,0.0002854310866222744,-0.03510100223885136,0.033659302092389584
stanfordnlp_sst2,graphsvx,window,gnn_correct_gold,all,872,98,0.8153773137161842,0.47284184991826195,0.7895507040025312,-0.025891630840928492,-0.04780944462919873,-0.0056126421258408795,0.32071927045084486,0.32356323865530695,0.003433179730255972,-0.04487637386425191,0.04992259344574131
stanfordnlp_sst2,graphsvx,window,gnn_correct_gold,confidence>0.9,664,32,0.7191455696202532,0.45460838607594933,0.6184731012658228,-0.10063983512493384,-0.17525586841319601,-0.029341384547109453,0.10329151208211128,0.08040049374167861,-0.025562782892779246,-0.05750391750519443,-0.0045887937135316095
stanfordnlp_sst2,graphsvx,window,gnn_correct_gold,all (base = confidence+explanation),872,98,0.7982914095870906,0.47284184991826195,0.7927279438907345,-0.005399651723249372,-0.017604767101973326,0.005931797885807207,0.3247306182658352,0.3115441642551309,-0.013156285618692419,-0.0388635022072938,0.011055721641747245
stanfordnlp_sst2,graphsvx,window,gnn_agrees_teacher,all,872,58,0.911950351605524,0.5013979496738117,0.908773193255952,-0.0031780630499055173,-0.013018272166182667,0.006227163052781202,0.40503295600257105,0.34733935527602255,-0.055753142996041324,-0.13219413826543425,0.014560407145905925
stanfordnlp_sst2,graphsvx,window,gnn_agrees_teacher,all (base = confidence+explanation),872,58,0.9073328814708125,0.5013979496738117,0.9032449377276964,-0.004097197692229399,-0.012357630397037609,0.00404538711722546,0.4061648947698777,0.3581607943610936,-0.04521164221430865,-0.10006855539365507,0.005205598058697722
stanfordnlp_sst2,graphsvx,skipgrams,bert_correct,all,872,73,0.8348963601762478,0.5255884924648963,0.8205462307336227,-0.014480355518278348,-0.032601956109891764,-0.0004116331729197401,0.3077422178420738,0.3168938975121333,0.00937185096714469,-0.04849485520335009,0.0718089629790768
stanfordnlp_sst2,graphsvx,skipgrams,bert_correct,confidence>0.9,744,32,0.7701018258426966,0.5286604634831461,0.7331021769662922,-0.03544227975850047,-0.07987085702254669,-0.0012883813980362018,0.11214413353020516,0.10986091616537964,-0.0006410179657059928,-0.012847558289899445,0.018275043287058767
stanfordnlp_sst2,graphsvx,skipgrams,gnn_correct_gold,all,872,106,0.8247943248435883,0.4640376373220356,0.8006059411793683,-0.024621652172249146,-0.04298872929959048,-0.009831245293113248,0.3318902893112913,0.29824744368697526,-0.03271844014020615,-0.0751892075272388,0.006509712326697951
stanfordnlp_sst2,graphsvx,skipgrams,gnn_correct_gold,confidence>0.9,673,37,0.7931752507224206,0.4747577766445691,0.7224630290668026,-0.07141352243028287,-0.13137063620299905,-0.025826053546873694,0.18088368251613832,0.1499107928872834,-0.03484622421870883,-0.07609406742682784,-0.012058518701167769
stanfordnlp_sst2,graphsvx,skipgrams,gnn_correct_gold,all (base = confidence+explanation),872,106,0.8096581112370067,0.4640376373220356,0.793204098724075,-0.016682695457300837,-0.03116743875806182,-0.006215536560603702,0.32594195271659626,0.31319306415011794,-0.013141502726928404,-0.02803840889641278,-0.000607014179276502
stanfordnlp_sst2,graphsvx,skipgrams,gnn_agrees_teacher,all,872,72,0.9136631944444444,0.49631944444444437,0.9066493055555556,-0.007270596845920157,-0.027448932499563407,0.006495303599538608,0.4069114309504848,0.43287868112541883,0.023918486030434033,-0.04092404861012801,0.08865117449573826
stanfordnlp_sst2,graphsvx,skipgrams,gnn_agrees_teacher,all (base = confidence+explanation),872,72,0.9058159722222222,0.49631944444444437,0.9009548611111112,-0.0049291963423504035,-0.012619235741794929,0.0006252716934408949,0.4358075818736996,0.4304604205673494,-0.007120608594345191,-0.033335293423889,0.020256630195489855
