dataset,method,graph,target,regime,n,n_errors,auroc_base,auroc_overlap_only,auroc_full,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,auprc_base,auprc_full,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
setfit_ag_news,subgraphx,skipgrams,bert_correct,all,7600,471,0.8868036687564534,0.47968421795608324,0.8842880028018687,-0.0025186059941653747,-0.0046432560983560665,-0.0006659363124351145,0.3342144929388435,0.3314911654741559,-0.003351232476041521,-0.009852357515219578,0.0024527958872900533
setfit_ag_news,subgraphx,skipgrams,bert_correct,confidence>0.9,6506,144,0.8106061598379266,0.48150858831953613,0.8020025585944321,-0.008650097967299377,-0.01642753808308201,-0.0020585985392636455,0.09288454724528535,0.08355065985606623,-0.01018536133076561,-0.02927247308510689,0.0034353831887196148
setfit_ag_news,subgraphx,skipgrams,gnn_correct_gold,all,7600,478,0.8358689381361778,0.4807065501557435,0.794306697733113,-0.041717242929488786,-0.05753918934423734,-0.026016602958696847,0.2974724699826843,0.27978910799699575,-0.017302930983397392,-0.024025123828152847,-0.010655795868757648
setfit_ag_news,subgraphx,skipgrams,gnn_correct_gold,confidence>0.9,7116,292,0.7776306227818015,0.4749080100049784,0.7065760049141627,-0.07187897286795751,-0.10026659624386768,-0.04487662470337994,0.16397110345117744,0.1409880467840131,-0.02281214678150711,-0.031618128942621074,-0.014723818603799886
setfit_ag_news,subgraphx,skipgrams,gnn_correct_gold,all (base = confidence+explanation),7600,478,0.8541378062436036,0.4807065501557435,0.8529117155986695,-0.001235271346764437,-0.0023078356706366736,-0.00014145809153537375,0.2922263253888531,0.29029713956394854,-0.002116286162005786,-0.005648888264972068,0.0011785048308260004
setfit_ag_news,subgraphx,skipgrams,gnn_agrees_teacher,all,7600,144,0.9817522055317119,0.5110393009358608,0.9821378010252743,0.00040321229059719254,-0.0013657905037307487,0.0021215431291139006,0.39270416949180137,0.42906847249620966,0.03357083578892987,-0.004899813319014683,0.07110414739195088
setfit_ag_news,subgraphx,skipgrams,gnn_agrees_teacher,all (base = confidence+explanation),7600,144,0.980605664341917,0.5110393009358608,0.9777043842393897,-0.0029034525517277255,-0.009212043557429325,0.0003723866564037892,0.43747880625076435,0.4367047590629237,7.445580785539996e-05,-0.029819645776918733,0.029490665794897977
stanfordnlp_sst2,graphsvx,constituency,bert_correct,all,872,73,0.8348963601762478,0.530037546933667,0.8285356695869838,-0.00510113818834332,-0.0301495431638889,0.021884360122983417,0.3077422178420738,0.3025914543378802,-0.00930157269537823,-0.07629475576587028,0.05748635598553422
stanfordnlp_sst2,graphsvx,constituency,bert_correct,confidence>0.9,744,32,0.7701018258426966,0.5073297050561798,0.7567591292134832,-0.011909651133983946,-0.0817349125998596,0.05360490024592471,0.11214413353020516,0.12050037258169741,0.015089909896038273,-0.019823973904307447,0.07339688241501463
stanfordnlp_sst2,graphsvx,constituency,gnn_correct_gold,all,872,78,0.8348026868178002,0.5537040625201834,0.8209164890525094,-0.013054560441029362,-0.03558635852424274,0.010599328947873566,0.3155934323172627,0.32696378986263325,0.010143102966071163,-0.048092377205407245,0.07336071670061821
