dataset,method,graph,target,feature,n_valid,mean_when_correct,mean_when_error,auroc_error_oriented
setfit_ag_news,subgraphx,skipgrams,bert_correct,spearman,7600,0.041374242440963264,0.047319074631270094,0.4929648018216912
setfit_ag_news,subgraphx,skipgrams,bert_correct,top1_match,7600,0.030158507504558844,0.040339702760084924,0.49490940237223696
setfit_ag_news,subgraphx,skipgrams,gnn_correct_gold,jaccard_k20,7600,0.1176473530714091,0.12199229833753208,0.49234736140828295
setfit_ag_news,subgraphx,skipgrams,gnn_correct_gold,jaccard_top5,7600,0.09334478900612009,0.09854220628279206,0.49144806181329814
setfit_ag_news,subgraphx,skipgrams,gnn_correct_gold,spearman,7600,0.041637019153627434,0.043316753348997275,0.4995727482407626
setfit_ag_news,subgraphx,skipgrams,gnn_correct_gold,top1_match,7600,0.03046896939062061,0.03556485355648536,0.49745205791706765
setfit_ag_news,subgraphx,skipgrams,gnn_agrees_teacher,jaccard_k20,7600,0.11811474383796175,0.10786970225050722,0.5323318095791607
setfit_ag_news,subgraphx,skipgrams,gnn_agrees_teacher,jaccard_top5,7600,0.09384792901423804,0.08454585537918873,0.5236950293574153
setfit_ag_news,subgraphx,skipgrams,gnn_agrees_teacher,spearman,7600,0.04148908090937724,0.054872717032212755,0.48052463340486407
setfit_ag_news,subgraphx,skipgrams,gnn_agrees_teacher,top1_match,7600,0.03084763948497854,0.027777777777777776,0.5015349308536005
stanfordnlp_sst2,graphsvx,constituency,bert_correct,jaccard_k20,872,0.13696161932744425,0.1339496880592771,0.512164177825021
stanfordnlp_sst2,graphsvx,constituency,bert_correct,jaccard_top5,872,0.19258994377893,0.1835725157642966,0.5216194901160698
stanfordnlp_sst2,graphsvx,constituency,bert_correct,spearman,870,0.01028041062469576,0.04399682562942089,0.45836269572540866
stanfordnlp_sst2,graphsvx,constituency,bert_correct,top1_match,872,0.0625782227784731,0.1095890410958904,0.4764945908412914
stanfordnlp_sst2,graphsvx,constituency,gnn_correct_gold,jaccard_k20,872,0.13625617953110913,0.14132377593916054,0.5133049150681392
stanfordnlp_sst2,graphsvx,constituency,gnn_correct_gold,jaccard_top5,872,0.19098096837391548,0.2005291005291005,0.4930488277465607
stanfordnlp_sst2,graphsvx,constituency,gnn_correct_gold,spearman,870,0.008053838566687819,0.06444378710273713,0.4392158767158767
stanfordnlp_sst2,graphsvx,constituency,gnn_correct_gold,top1_match,872,0.061712846347607056,0.11538461538461539,0.47316411548149584
stanfordnlp_sst2,graphsvx,constituency,gnn_agrees_teacher,jaccard_k20,872,0.13588424597782886,0.18728414442700161,0.47768897768897767
stanfordnlp_sst2,graphsvx,constituency,gnn_agrees_teacher,jaccard_top5,872,0.19146594146594145,0.21445578231292517,0.493006993006993
stanfordnlp_sst2,graphsvx,constituency,gnn_agrees_teacher,spearman,870,0.010524113937456588,0.1711867148833864,0.3491738985313752
stanfordnlp_sst2,graphsvx,constituency,gnn_agrees_teacher,top1_match,872,0.06643356643356643,0.07142857142857142,0.49750249750249753
stanfordnlp_sst2,graphsvx,syntactic,bert_correct,jaccard_k20,872,0.172592892634295,0.16808397082369683,0.489627445265486
stanfordnlp_sst2,graphsvx,syntactic,bert_correct,jaccard_top5,872,0.24939905040030197,0.23423570341378555,0.517410461707271
stanfordnlp_sst2,graphsvx,syntactic,bert_correct,spearman,870,0.16015521482782258,0.14680148314347863,0.5013320499819529
stanfordnlp_sst2,graphsvx,syntactic,bert_correct,top1_match,872,0.08135168961201501,0.0547945205479452,0.5132785845320349
stanfordnlp_sst2,graphsvx,syntactic,gnn_correct_gold,jaccard_k20,872,0.1743804440409672,0.15190549024582636,0.5152661953106117
stanfordnlp_sst2,graphsvx,syntactic,gnn_correct_gold,jaccard_top5,872,0.2512035694142293,0.2192932728647014,0.544287829344936
stanfordnlp_sst2,graphsvx,syntactic,gnn_correct_gold,spearman,870,0.16130078983917934,0.1378308770673045,0.5121849630437416
stanfordnlp_sst2,graphsvx,syntactic,gnn_correct_gold,top1_match,872,0.08375634517766498,0.03571428571428571,0.5240210297316896
stanfordnlp_sst2,graphsvx,syntactic,gnn_agrees_teacher,jaccard_k20,872,0.1727455151305296,0.1534855939267704,0.5132419418238994
stanfordnlp_sst2,graphsvx,syntactic,gnn_agrees_teacher,jaccard_top5,872,0.2490968478586403,0.21395502645502643,0.5514937106918238
stanfordnlp_sst2,graphsvx,syntactic,gnn_agrees_teacher,spearman,870,0.16071837482016665,0.09968622455781344,0.555678684003152
stanfordnlp_sst2,graphsvx,syntactic,gnn_agrees_teacher,top1_match,872,0.08018867924528301,0.041666666666666664,0.5192610062893082
stanfordnlp_sst2,graphsvx,window,bert_correct,jaccard_k20,872,0.1736435627899222,0.16780061643075342,0.492499185625868
stanfordnlp_sst2,graphsvx,window,bert_correct,jaccard_top5,872,0.24855970757097162,0.21983039791258968,0.5309033552214241
stanfordnlp_sst2,graphsvx,window,bert_correct,spearman,870,0.16556152314904543,0.17262106387907838,0.4859919905123665
stanfordnlp_sst2,graphsvx,window,bert_correct,top1_match,872,0.0951188986232791,0.0821917808219178,0.5064635589006806
stanfordnlp_sst2,graphsvx,window,gnn_correct_gold,jaccard_k20,872,0.17337174005257067,0.1708782445624551,0.48503206823591644
stanfordnlp_sst2,graphsvx,window,gnn_correct_gold,jaccard_top5,872,0.24785634521815425,0.22833124477861316,0.5241503570484
stanfordnlp_sst2,graphsvx,window,gnn_correct_gold,spearman,870,0.1648308285859911,0.17997623310111824,0.47689911175924704
stanfordnlp_sst2,graphsvx,window,gnn_correct_gold,top1_match,872,0.0942211055276382,0.09210526315789473,0.5010579211848717
stanfordnlp_sst2,graphsvx,window,gnn_agrees_teacher,jaccard_k20,872,0.17370487519779712,0.14370490620490622,0.5310309579439253
stanfordnlp_sst2,graphsvx,window,gnn_agrees_teacher,jaccard_top5,872,0.24749666221628835,0.17435515873015872,0.626788843457944
stanfordnlp_sst2,graphsvx,window,gnn_agrees_teacher,spearman,870,0.16735562050355637,0.10201073143280062,0.5596457845433256
stanfordnlp_sst2,graphsvx,window,gnn_agrees_teacher,top1_match,872,0.09579439252336448,0.0,0.5478971962616823
stanfordnlp_sst2,graphsvx,skipgrams,bert_correct,jaccard_k20,872,0.17672785630526924,0.1658385754276165,0.4918048245238055
stanfordnlp_sst2,graphsvx,skipgrams,bert_correct,jaccard_top5,872,0.2466128295289747,0.23613829093281147,0.49716254907675683
stanfordnlp_sst2,graphsvx,skipgrams,bert_correct,spearman,870,0.1656242761544878,0.19159155761890714,0.4611213282686787
stanfordnlp_sst2,graphsvx,skipgrams,bert_correct,top1_match,872,0.09136420525657071,0.1232876712328767,0.484038267011847
stanfordnlp_sst2,graphsvx,skipgrams,gnn_correct_gold,jaccard_k20,872,0.17655793894125496,0.1682662778816625,0.4885196667312537
stanfordnlp_sst2,graphsvx,skipgrams,gnn_correct_gold,jaccard_top5,872,0.24672144256527132,0.23570411070411068,0.4994752308984047
stanfordnlp_sst2,graphsvx,skipgrams,gnn_correct_gold,spearman,870,0.16611135288628617,0.184981286094466,0.4673659673659674
